operation: 	ADD	 n. times: 	608
operation: 	ADDCG	 n. times: 	0
operation: 	AND	 n. times: 	9
operation: 	ANDC	 n. times: 	0
operation: 	ANDL	 n. times: 	2
operation: 	BR	 n. times: 	0
operation: 	BRF	 n. times: 	0
operation: 	CALL	 n. times: 	34
operation: 	CMPEQ	 n. times: 	120
operation: 	CMPGE	 n. times: 	79
operation: 	CMPGEU	 n. times: 	0
operation: 	CMPGT	 n. times: 	81
operation: 	CMPGTU	 n. times: 	0
operation: 	CMPLE	 n. times: 	1
operation: 	CMPLEU	 n. times: 	32
operation: 	CMPLT	 n. times: 	148
operation: 	CMPLTU	 n. times: 	0
operation: 	CMPNE	 n. times: 	44
operation: 	DIVS	 n. times: 	0
operation: 	GOTO	 n. times: 	203
operation: 	ICALL	 n. times: 	0
operation: 	IGOTO	 n. times: 	0
operation: 	LDB	 n. times: 	50
operation: 	LDBU	 n. times: 	40
operation: 	LDBUs	 n. times: 	19
operation: 	LDBs	 n. times: 	80
operation: 	LDH	 n. times: 	0
operation: 	LDHU	 n. times: 	2
operation: 	LDHUs	 n. times: 	16
operation: 	LDHs	 n. times: 	0
operation: 	LDW	 n. times: 	389
operation: 	LDWs	 n. times: 	138
operation: 	MAX	 n. times: 	1
operation: 	MAXU	 n. times: 	0
operation: 	MFB	 n. times: 	18
operation: 	MFL	 n. times: 	0
operation: 	MIN	 n. times: 	0
operation: 	MINU	 n. times: 	0
operation: 	MOV	 n. times: 	398
operation: 	MPYH	 n. times: 	0
operation: 	MPYHH	 n. times: 	0
operation: 	MPYHHU	 n. times: 	0
operation: 	MPYHS	 n. times: 	0
operation: 	MPYHU	 n. times: 	0
operation: 	MPYL	 n. times: 	0
operation: 	MPYLH	 n. times: 	0
operation: 	MPYLHU	 n. times: 	0
operation: 	MPYLL	 n. times: 	0
operation: 	MPYLLU	 n. times: 	0
operation: 	MPYLU	 n. times: 	0
operation: 	MTB	 n. times: 	18
operation: 	MTBINV	 n. times: 	0
operation: 	MTL	 n. times: 	0
operation: 	MUL	 n. times: 	0
operation: 	MULH	 n. times: 	0
operation: 	MULHS	 n. times: 	0
operation: 	MULHU	 n. times: 	0
operation: 	MULL	 n. times: 	0
operation: 	MULLH	 n. times: 	0
operation: 	MULLHHU	 n. times: 	0
operation: 	MULLHU	 n. times: 	0
operation: 	MULLL	 n. times: 	0
operation: 	MULLLU	 n. times: 	0
operation: 	MULLU	 n. times: 	0
operation: 	NANDL	 n. times: 	0
operation: 	NOP	 n. times: 	0
operation: 	NORL	 n. times: 	1
operation: 	OR	 n. times: 	4
operation: 	ORC	 n. times: 	0
operation: 	ORL	 n. times: 	4
operation: 	PFT	 n. times: 	0
operation: 	RETURN	 n. times: 	28
operation: 	SBIT	 n. times: 	0
operation: 	SBITF	 n. times: 	0
operation: 	SH1ADD	 n. times: 	20
operation: 	SH2ADD	 n. times: 	37
operation: 	SH3ADD	 n. times: 	0
operation: 	SH4ADD	 n. times: 	0
operation: 	SHL	 n. times: 	44
operation: 	SHR	 n. times: 	23
operation: 	SHRU	 n. times: 	0
operation: 	SLCT	 n. times: 	89
operation: 	SLCTF	 n. times: 	0
operation: 	STB	 n. times: 	179
operation: 	STH	 n. times: 	50
operation: 	STW	 n. times: 	581
operation: 	SUB	 n. times: 	41
operation: 	SXTB	 n. times: 	1
operation: 	SXTH	 n. times: 	0
operation: 	TBIT	 n. times: 	0
operation: 	TBITF	 n. times: 	0
operation: 	XNOP	 n. times: 	195
operation: 	XOR	 n. times: 	1
operation: 	ZXTB	 n. times: 	23
operation: 	ZXTH	 n. times: 	0
